0,city_ascii,lat,long,country,population
112,Suzhou,33.6333,116.9683,China,5690000
113,Philadelphia,40.0077,-75.1339,United States,5649300
114,Jieyang,23.5533,116.3649,China,5634000
115,Nairobi,-1.2864,36.8172,Kenya,5545000
116,Nangandao,35.2992,113.8851,China,5516000
117,Ankara,39.93,32.85,Turkey,5503985
118,Tai'an,36.2001,117.0809,China,5499000
119,Yulin,22.6293,110.1507,China,5487368
120,Dezhou,37.4513,116.3105,China,5470000
121,Houston,29.7863,-95.3889,United States,5464251
122,Atlanta,33.7627,-84.4224,United States,5449398
123,Rangoon,16.8,96.15,Burma,5430000
124,Toronto,43.7417,-79.3733,Canada,5429524
125,Suihua,46.6384,126.9808,China,5420000
126,Washington,38.9047,-77.0163,United States,5379184
127,Qiqihar,47.3398,123.9512,China,5367003
128,Jinhua,29.1046,119.6494,China,5361572
129,Saint Petersburg,59.95,30.3167,Russia,5351935
130,Shantou,23.3735,116.6941,China,5319028
131,Sydney,-33.865,151.2094,Australia,5312163
132,Weinan,34.4996,109.4684,China,5300000
133,Suqian,33.9331,118.2831,China,5290000
134,Guadalajara,20.6767,-103.3475,Mexico,5253000
135,Suzhou,31.304,120.6164,China,5250000
136,Fuzhou,26.0769,119.2917,China,5245000
137,Zhaotong,27.3328,103.7144,China,5213521
138,Pudong,31.2231,121.5397,China,5187200
139,Yongzhou,26.4515,111.5953,China,5180235
140,Belo Horizonte,-19.8917,-43.9478,Brazil,5159000
141,Zhangzhou,24.5093,117.6612,China,5140000
142,Bozhou,33.8626,115.7742,China,5100000
143,Melbourne,-37.8136,144.9631,Australia,5078193
144,Nanchang,28.6842,115.8872,China,5042565
145,Xianyang,34.35,108.7167,China,5040000
146,Taizhou,32.4831,119.9,China,5031000
147,Surabaya,-7.2458,112.7378,Indonesia,4975000
148,Abidjan,5.3364,-4.0267,C“te D?Ivoire,4980000
149,Ji'an,27.1172,114.9793,China,4956600
150,Mianyang,31.4669,104.7385,China,4945000
151,Shaoxing,30,120.5833,China,4912239
152,Alexandria,31.2,29.9167,Egypt,4870000
153,Yuncheng,35.0304,110.998,China,4860000
154,Pingdingshan,33.735,113.2999,China,4838000
155,Huai'an,33.5,119.1331,China,4799889
156,Xinpu,34.5906,119.1801,China,4790000
157,Guilin,25.2667,110.2833,China,4747963
158,Huaihua,27.5494,109.9592,China,4741948
159,Jiujiang,29.7048,116.0021,China,4728778
160,Anqing,30.5,117.0333,China,4723000
161,Boston,42.3188,-71.0846,United States,4688346
162,Huanglongsi,34.7936,114.3403,China,4676159
163,Xiaoganzhan,30.9273,113.911,China,4665000
164,Changzhou,31.8122,119.9692,China,4592431
165,Barcelona,41.3825,2.1769,Spain,4588000
166,Chenzhou,25.7989,113.0267,China,4581778
167,Wuxi,31.5667,120.2833,China,4580000
168,Zibo,36.7831,118.0497,China,4530597
169,Jiaxing,30.7522,120.75,China,4501657
170,Dalian,38.9131,121.61,China,4480000
171,Harbin,45.75,126.6333,China,4458000
172,Yangzhou,32.3912,119.4363,China,4459000
173,Yibin,28.7596,104.64,China,4456000
174,Jiangmen,22.5833,113.0833,China,4448871
175,Johannesburg,-26.2044,28.0416,South Africa,4434827
176,Meizhou,24.2998,116.1191,China,4378800
177,Chifeng,42.2663,118.9223,China,4376600
178,Casablanca,33.5992,-7.62,Morocco,4370000
179,Guiyang,26.5794,106.7078,China,4365000
180,Langfang,39.5196,116.7006,China,4358839
181,Zhangjiakou,40.8108,114.8811,China,4345491
182,Izmir,38.4127,27.1384,Turkey,4320519
183,Linfen,36.0812,111.5087,China,4316610
184,Wenzhou,27.9991,120.6561,China,4310000
185,Monterrey,25.6667,-100.3,Mexico,4295000
186,Luzhou,28.8918,105.4409,China,4291000
187,Jiangguanchi,34.0244,113.8201,China,4289000
188,Neijiang,29.5872,105.0635,China,4238000
189,Phoenix,33.5722,-112.0891,United States,4219697
190,Yanjiang,30.1256,104.6397,China,4217000
191,Yiyang,28.5833,112.3333,China,4174000
192,Zhaoqing,23.047,112.465,China,4151700
193,Hengshui,37.7348,115.686,China,4150000
194,Guigang,23.0961,109.6092,China,4118808
195,Xiaoxita,30.7083,111.2803,China,4115000
196,Xiamen,24.4797,118.0819,China,4110000
197,Chuzhou,32.3062,118.3115,China,4110000
198,Fuzhou,27.9814,116.3577,China,4047200
199,Amman,31.95,35.9333,Jordan,4007526
200,Jeddah,21.5428,39.1728,Saudi Arabia,3976000
201,Sialkot City,32.5,74.5333,Pakistan,3893672
202,Huizhou,23.1115,114.4152,China,3875000
203,Qingyuan,23.6842,113.0507,China,3874000
204,Zhuzhou,27.8407,113.1469,China,3855609
205,Wuhu,31.334,118.3622,China,3842100
206,Hechi,23.0965,109.6091,China,3830000
207,Seattle,47.6211,-122.3244,United States,3789215
208,Loudi,27.7378,111.9974,China,3785627
209,Binzhou,37.3806,118.0125,China,3779200
210,Liuzhou,24.3181,109.4069,China,3758704
211,Yokohama,35.4333,139.6333,Japan,3748781
212,Baojishi,34.3609,107.1751,China,3738700
213,Guang'an,30.4673,106.6336,China,3723000
214,Hanzhong,33.0794,107.026,China,3700000
215,Kabul,34.5328,69.1658,Afghanistan,3678034
216,Zaozhuang,34.8667,117.55,China,3650000
217,Berlin,52.5167,13.3833,Germany,3644826
218,Anshan,41.1066,122.9895,China,3645884
219,Deyang,31.1289,104.395,China,3636000
220,Lanzhou,36.0617,103.8318,China,3616163
221,Chengde,40.9739,117.9322,China,3610000
222,San Francisco,37.7562,-122.443,United States,3592294
223,Puyang,35.7639,115.03,China,3580000
224,Suining,30.5098,105.5737,China,3556000
225,Jiaozuo,35.229,113.2304,China,3540101
