0,city_ascii,lat,long,country,population
25575,Springfield,32.3634,-81.3029,United States,5224
25576,Chisago City,45.3474,-92.9116,United States,5224
8390,Friendship Heights Village,38.9633,-77.09,United States,5225
25572,Ballston Spa,43.0068,-73.8525,United States,5226
25573,Byron,32.6474,-83.7541,United States,5226
25571,Hollywood,32.7523,-80.2106,United States,5227
25568,Bangor,40.8678,-75.2085,United States,5228
25566,Walton,42.1741,-75.1273,United States,5229
25565,Greene,42.3187,-75.7692,United States,5230
25563,McGregor,31.4187,-97.4283,United States,5231
25564,Winterset,41.3457,-94.0137,United States,5231
25562,Conklin,42.0399,-75.8342,United States,5232
25560,Wrightsboro,34.2895,-77.9217,United States,5233
25559,Salem,39.5681,-75.4724,United States,5235
25558,Bolton,42.4362,-71.6073,United States,5236
25556,Ranson,39.325,-77.8666,United States,5239
25553,Walkertown,36.1578,-80.1642,United States,5242
25554,North Stonington,41.4697,-71.8755,United States,5242
25551,McGuire AFB,40.0285,-74.5883,United States,5246
25549,Calistoga,38.5818,-122.5824,United States,5247
8389,Pine Manor,26.5727,-81.8775,United States,5248
25548,Perry,41.4648,-112.0401,United States,5248
25545,Pawcatuck,41.3774,-71.8492,United States,5249
25544,Eagleton Village,35.7885,-83.9363,United States,5250
25541,Centerport,40.8943,-73.3714,United States,5251
25539,Venus,32.4312,-97.102,United States,5252
8385,Albertson,40.7715,-73.6482,United States,5254
25534,Giddings,30.1833,-96.9279,United States,5254
25535,Wadesboro,34.9645,-80.0746,United States,5254
25533,Holdrege,40.4395,-99.3773,United States,5255
25531,East Granby,41.9424,-72.741,United States,5256
25529,West Vincent,40.1256,-75.6477,United States,5257
25524,Mena,34.5812,-94.2369,United States,5261
25525,Grandwood Park,42.3929,-87.9871,United States,5261
25523,West Rockhill,40.3686,-75.3489,United States,5263
25522,Carroll Township,40.3364,-77.1735,United States,5265
25521,Wind Lake,42.823,-88.1573,United States,5266
25520,Rothschild,44.8761,-89.6173,United States,5267
25517,Forsyth,33.0347,-83.9381,United States,5270
25516,West Yarmouth,41.6496,-70.2487,United States,5271
25511,Samsula-Spruce Creek,29.0484,-81.0628,United States,5272
25512,Pontotoc,34.2532,-89.0091,United States,5272
25510,Cave Springs,36.2701,-94.2225,United States,5276
25508,Grayson,38.3317,-82.9371,United States,5277
25505,Titusville,41.6273,-79.6699,United States,5279
25506,Big Bear Lake,34.2429,-116.8951,United States,5279
25507,St. Clair,42.8262,-82.493,United States,5279
25504,Midway,40.5183,-111.4745,United States,5280
25502,Zephyrhills West,28.2311,-82.2052,United States,5281
25500,New Ipswich,42.7489,-71.8747,United States,5284
8383,Broadmoor,37.6914,-122.4811,United States,5286
25495,Lakehills,29.6237,-98.9448,United States,5288
25496,Iola,37.9274,-95.4006,United States,5288
25492,Myrtletown,40.7888,-124.1286,United States,5290
25491,Orange,38.2486,-78.1127,United States,5291
25489,Kings Point,40.8162,-73.7407,United States,5292
25486,Mount Carmel,36.562,-82.6618,United States,5294
25485,Waynesville,37.8207,-92.22,United States,5295
25483,Medina,26.929,-99.2614,United States,5296
25482,Williamson,34.7082,-112.5342,United States,5297
25479,Alton,43.4906,-71.2462,United States,5298
25480,Brookline,42.7464,-71.6705,United States,5298
25478,Centerville,40.7294,-92.8718,United States,5299
25477,Bulverde,29.7744,-98.4364,United States,5300
25475,Brent,32.9421,-87.1753,United States,5302
25474,Timber Pines,28.469,-82.5999,United States,5303
25470,Hightstown,40.2686,-74.5253,United States,5304
25471,Cameron,30.8608,-96.9762,United States,5304
25467,Union Beach,40.4454,-74.1699,United States,5305
25468,Fairport,43.099,-77.4427,United States,5305
25462,Jaffrey,42.8294,-72.0597,United States,5307
25463,Wilton,38.413,-121.2127,United States,5307
25464,Savannah,39.9391,-94.8279,United States,5307
25460,Floral City,28.7065,-82.309,United States,5308
25461,Delhi Hills,39.0871,-84.6178,United States,5308
25459,Fruitland,38.3214,-75.6246,United States,5309
25458,Hadley,42.3556,-72.5692,United States,5310
25456,Lehighton,40.8306,-75.7166,United States,5313
25455,Uhrichsville,40.4005,-81.3515,United States,5314
25452,South Sarasota,27.2856,-82.5333,United States,5316
25451,Batesburg-Leesville,33.9125,-81.5313,United States,5318
8379,Shillington,40.3029,-75.967,United States,5319
8380,Bret Harte,37.6021,-121.0045,United States,5319
25449,Cavalero,47.9846,-122.0743,United States,5320
25447,Sterling,60.5405,-150.8089,United States,5321
25445,Jefferson Township,40.7803,-79.8304,United States,5325
25443,Wake Village,33.424,-94.1188,United States,5327
25438,Salamanca,42.1631,-78.7233,United States,5330
25439,Westernport,39.488,-79.0429,United States,5330
25435,East Port Orchard,47.5193,-122.6183,United States,5331
25436,Lake Fenton,42.8453,-83.7086,United States,5331
25431,Fairview,41.732,-73.9139,United States,5332
25432,Exton,40.0307,-75.6303,United States,5332
25429,Jonesboro,32.2348,-92.7098,United States,5333
8375,South Highpoint,27.9086,-82.7162,United States,5335
8376,Edgewater,39.7507,-105.0626,United States,5335
25428,Palmerton,40.8023,-75.616,United States,5336
25426,North Dansville,42.5583,-77.6915,United States,5337
25427,Morganfield,37.6869,-87.8876,United States,5337
25423,West Hills,40.8198,-73.4339,United States,5338
25419,Belle Fourche,44.6642,-103.8564,United States,5341
25414,Travelers Rest,34.9684,-82.4417,United States,5346
25409,Mattawa,46.737,-119.904,United States,5349
25402,Shepherdstown,39.4318,-77.8048,United States,5351
25403,Turpin Hills,39.1063,-84.3703,United States,5351
25404,North Oaks,45.1002,-93.0882,United States,5351
25397,Palmview South,26.2164,-98.378,United States,5352
25398,Anthony,31.9876,-106.5933,United States,5352
25399,Dickinson,40.1008,-77.2468,United States,5352
25400,Doney Park,35.2687,-111.5053,United States,5352
25401,De Soto,38.9686,-94.9548,United States,5352
25394,Rio Pinar,28.5271,-81.2628,United States,5354
25395,Englewood Cliffs,40.8822,-73.9466,United States,5354
25393,Ward,35.0117,-91.9577,United States,5358
25392,East Moriches,40.8097,-72.7581,United States,5359
25390,Frankford,41.1615,-74.7381,United States,5361
25388,St. Paul Park,44.836,-92.9949,United States,5362
25384,Sunset,41.1392,-112.0285,United States,5364
25379,Manchester,39.6584,-76.8881,United States,5367
8371,Kaser,41.1214,-74.0686,United States,5368
25374,Rockdale,30.6542,-97.0089,United States,5368
25375,Estacada,45.2987,-122.3338,United States,5368
25373,Bridgton,44.0481,-70.7362,United States,5369
25366,Connell,46.6622,-118.8404,United States,5370
25367,Manchester-by-the-Sea,42.5815,-70.7682,United States,5370
25368,Polson,47.6886,-114.1411,United States,5370
25361,Cleveland,34.5971,-83.7621,United States,5372
25362,Lisbon,40.7752,-80.7628,United States,5372
25363,Mount Carmel,39.0978,-84.2995,United States,5372
25360,Marilla,42.8251,-78.5322,United States,5373
25357,Newport,41.1785,-76.0486,United States,5374
25358,Caldwell,39.7467,-81.5127,United States,5374
25359,Trenton,40.0819,-93.603,United States,5374
25356,Orwigsburg,40.6541,-76.104,United States,5376
25354,Chinle,36.1504,-109.5794,United States,5378
25352,Vernon,43.066,-75.5356,United States,5380
25351,Bellows Falls,43.1344,-72.455,United States,5381
25350,Oneonta,33.9392,-86.4929,United States,5382
25347,La Grange,29.9129,-96.8767,United States,5384
25348,Minot AFB,48.4209,-101.3381,United States,5384
25349,Jamul,32.7184,-116.8709,United States,5384
25344,Auburn,42.9906,-71.3438,United States,5385
25345,Central,34.7234,-82.7787,United States,5385
25342,Northfield,42.1026,-87.7791,United States,5386
25337,Pinardville,43.001,-71.5171,United States,5390
25338,Vienna,43.2344,-75.7777,United States,5390
25339,Manitou Springs,38.8576,-104.9128,United States,5390
25336,Smiths Station,32.5284,-85.096,United States,5391
25333,New Castle,39.6685,-75.5692,United States,5392
25334,Redstone,39.9809,-79.8451,United States,5392
25331,Pinckneyville,38.0851,-89.3718,United States,5393
